# t	 x	 y	 error
0.0100000000	0.0009882299	0.1976180982	2.1504320539e-07
0.0200000000	0.0039517848	0.3950621140	5.0174673057e-07
0.0300000000	0.0088888458	0.5923164223	7.8840021700e-07
0.0388708010	0.0149186423	0.7671255399	8.2681439121e-07
0.0468124105	0.0216317961	0.9234780053	8.1036427211e-07
0.0547540201	0.0295860660	1.0796844098	9.5380628275e-07
0.0617701047	0.0376449664	1.2175586139	8.4657515471e-07
0.0687861893	0.0466707668	1.3553071864	9.4540222443e-07
0.0750463002	0.0555395560	1.4781030679	8.2493326169e-07
0.0813064110	0.0651767240	1.6007905311	8.9506890609e-07
0.0875665218	0.0755815794	1.7233655091	9.6516947771e-07
0.0931617394	0.0855304504	1.8328231717	8.2254676718e-07
0.0987569569	0.0960914933	1.9421846162	8.7254733767e-07
0.1043521744	0.1072641609	2.0514467103	9.2252059342e-07
0.1099473920	0.1190478884	2.1606062169	9.7246496984e-07
0.1149608468	0.1301249853	2.2583260663	8.1770381634e-07
0.1199743017	0.1416917778	2.3559583446	8.5359110556e-07
0.1249877566	0.1537478205	2.4535004295	8.8945694057e-07
0.1300012114	0.1662926544	2.5509495774	9.2530041984e-07
0.1350146663	0.1793258062	2.6483029078	9.6112064238e-07
0.1400281211	0.1928467882	2.7455573859	9.9691670780e-07
0.1445112974	0.2053503914	2.8324389120	8.2351551545e-07
0.1489944737	0.2182433123	2.9192364089	8.4907807952e-07
0.1534776500	0.2315251687	3.0059473186	8.7462357814e-07
0.1579608263	0.2451955663	3.0925689350	9.0015149786e-07
0.1624440026	0.2592540985	3.1790983903	9.2566132553e-07
0.1669271789	0.2737003453	3.2655326410	9.5115254839e-07
0.1714103551	0.2885338727	3.3518684525	9.7662465404e-07
0.1754435397	0.3022090601	3.4294515825	8.0945887108e-07
0.1794767243	0.3161969839	3.5069496023	8.2797783766e-07
0.1835099088	0.3304972952	3.5843596947	8.4648333572e-07
0.1875430934	0.3451096335	3.6616788747	8.6497506421e-07
0.1915762779	0.3600336257	3.7389039782	8.8345272230e-07
0.1956094625	0.3752688857	3.8160316501	9.0191600937e-07
0.1996426471	0.3908150134	3.8930583319	9.2036462506e-07
0.2036758316	0.4066715941	3.9699802494	9.3879826921e-07
0.2077090162	0.4228381971	4.0467933990	9.5721664192e-07
0.2117422007	0.4393143753	4.1234935343	9.7561944353e-07
0.2157753853	0.4560996640	4.2000761517	9.9400637462e-07
0.2193963320	0.4714322387	4.2687272011	8.1486582121e-07
0.2230172788	0.4870132114	4.3372760320	8.2814924494e-07
0.2266382256	0.5028422050	4.4057187965	8.4142181024e-07
0.2302591723	0.5189188280	4.4740514415	8.5468334306e-07
0.2338801191	0.5352426742	4.5422696990	8.6793366949e-07
0.2375010659	0.5518133212	4.6103690763	8.8117261576e-07
0.2411220126	0.5686303302	4.6783448459	8.9440000824e-07
0.2447429594	0.5856932445	4.7461920345	9.0761567346e-07
0.2483639061	0.6030015893	4.8139054125	9.2081943810e-07
0.2519848529	0.6205548702	4.8814794832	9.3401112898e-07
0.2556057997	0.6383525723	4.9489084712	9.4719057308e-07
0.2592267464	0.6563941594	5.0161863108	9.6035759755e-07
0.2628476932	0.6746790728	5.0833066345	9.7351202968e-07
0.2664686399	0.6932067302	5.1502627606	9.8665369693e-07
0.2700895867	0.7119765243	5.2170476812	9.9978242692e-07
0.2733400967	0.7290318224	5.2768484742	8.1544179473e-07
0.2765906066	0.7462812622	5.3364998291	8.2492147470e-07
0.2798411166	0.7637243486	5.3959959537	8.3439243812e-07
0.2830916266	0.7813605674	5.4553308125	8.4385458489e-07
0.2863421365	0.7991893842	5.5144981184	8.5330781499e-07
0.2895926465	0.8172102438	5.5734913245	8.6275202849e-07
0.2928431565	0.8354225692	5.6323036167	8.7218712557e-07
0.2960936665	0.8538257611	5.6909279051	8.8161300648e-07
0.2993441764	0.8724191962	5.7493568157	8.9102957158e-07
0.3025946864	0.8912022272	5.8075826824	9.0043672132e-07
0.3058451964	0.9101741813	5.8655975383	9.0983435625e-07
0.3090957063	0.9293343592	5.9233931072	9.1922237703e-07
0.3123462163	0.9486820341	5.9809607951	9.2860068439e-07
0.3155967263	0.9682164510	6.0382916816	9.3796917917e-07
0.3188472362	0.9879368252	6.0953765111	9.4732776234e-07
0.3220977462	1.0078423413	6.1522056841	9.5667633493e-07
0.3253482562	1.0279321523	6.2087692483	9.6601479809e-07
0.3285987661	1.0482053782	6.2650568899	9.7534305308e-07
0.3318492761	1.0686611047	6.3210579245	9.8466100126e-07
0.3350997861	1.0892983824	6.3767612887	9.9396854408e-07
0.3380233381	1.1080140892	6.4265980192	8.1101903303e-07
0.3409468901	1.1268751202	6.4761760871	8.1777659551e-07
0.3438704422	1.1458807065	6.5254866213	8.2452716744e-07
0.3467939942	1.1650300525	6.5745204808	8.3127069108e-07
0.3497175463	1.1843223357	6.6232682492	8.3800710874e-07
0.3526410983	1.2037567055	6.6717202296	8.4473636280e-07
0.3555646503	1.2233322827	6.7198664397	8.5145839569e-07
0.3584882024	1.2430481585	6.7676966068	8.5817314992e-07
0.3614117544	1.2629033934	6.8152001626	8.6488056804e-07
0.3643353065	1.2828970168	6.8623662384	8.7158059268e-07
0.3672588585	1.3030280258	6.9091836603	8.7827316650e-07
0.3701824105	1.3232953844	6.9556409446	8.8495823225e-07
0.3731059626	1.3436980225	7.0017262928	8.9163573274e-07
0.3760295146	1.3642348351	7.0474275875	8.9830561084e-07
0.3789530667	1.3849046814	7.0927323873	9.0496780946e-07
