x	 y
-1.7410591744	-3.9626087639
-1.7809810179	-4.0210983289
-1.8214675075	-4.0754981763
-1.8624765404	-4.1255660189
-1.9039635577	-4.1710530735
-1.9458814831	-4.2117047434
-1.9881806686	-4.2472614277
-2.0308088489	-4.2774594628
-2.0737111065	-4.3020322045
-2.1168298471	-4.3207112533
-2.1601047899	-4.3332278288
-2.2034729702	-4.3393142942
-2.2468687597	-4.3387058314
-2.2902239038	-4.3311422655
-2.3334675771	-4.3163700326
-2.3765264606	-4.2941442873
-2.4193248396	-4.2642311359
-2.4617847251	-4.2264099854
-2.5038259987	-4.1804759910
-2.5453665828	-4.1262425813
-2.5863226361	-4.0635440399
-2.6266087756	-3.9922381147
-2.6661383235	-3.9122086260
-2.7048235817	-3.8233680398
-2.7425761304	-3.7256599703
-2.7793071514	-3.6190615725
-2.8149277755	-3.5035857859
-2.8493494503	-3.3792833857
-2.8824843281	-3.2462448012
-2.9142456702	-3.1046016586
-2.9445482655	-2.9545280080
-2.9733088592	-2.7962411961
-3.0004465887	-2.6300023508
-3.0258834221	-2.4561164454
-3.0495445950	-2.2749319185
-3.0713590412	-2.0868398298
-3.0912598133	-1.8922725405
-3.1091844864	-1.6917019139
-3.1250755426	-1.4856370395
-3.1388807298	-1.2746214955
-3.1505533910	-1.0592301697
-3.1600527598	-0.8400656699
-3.1673442183	-0.6177543628
-3.1723995132	-0.3929420876
-3.1751969281	-0.1662895983
-3.1757214089	0.0615322059
-3.1739646407	0.2898471990
-3.1699250755	0.5179790255
-3.1636079087	0.7452561104
-3.1550250072	0.9710166097
-3.1441947874	1.1946132343
-3.1311420464	1.4154178828
-3.1158977482	1.6328260188
-3.0984987669	1.8462607411
-3.0789875922	2.0551764938
-3.0574119984	2.2590623769
-3.0338246836	2.4574450231
-3.0082828813	2.6498910166
-2.9808479513	2.8360088363
-2.9515849529	3.0154503182
-2.9205622060	3.1879116366
-2.8878508444	3.3531338142
-2.8535243675	3.5109027775
-2.8176581919	3.6610489802
-2.7803292103	3.8034466249
-2.7416153593	3.9380125142
-2.7015952004	4.0647045714
-2.6603475176	4.1835200679
-2.6179509337	4.2944936005
-2.5744835483	4.3976948603
-2.5300225983	4.4932262349
-2.4846441438	4.5812202850
-2.4384227794	4.6618371352
-2.3914313715	4.7352618156
-2.3437408230	4.8017015888
-2.2954198639	4.8613832932
-2.2465348690	4.9145507318
-2.1971497008	4.9614621299
-2.1473255776	5.0023876829
-2.0971209659	5.0376072137
-2.0465914949	5.0674079506
-1.9957898936	5.0920824401
-1.9447659468	5.1119266010
-1.8935664708	5.1272379248
-1.8422353064	5.1383138266
-1.7908133265	5.1454501451
-1.7393384594	5.1489397921
-1.6878457242	5.1490715469
-1.6363672769	5.1461289919
-1.5849324680	5.1403895826
-1.5335679073	5.1321238468
-1.4822975369	5.1215947038
-1.4311427099	5.1090568973
-1.3801222753	5.0947565320
-1.3292526654	5.0789307074
-1.2785479879	5.0618072382
-1.2280201197	5.0436044549
-1.1776788022	5.0245310743
-1.1275317381	5.0047861340
-1.0775846882	4.9845589813
-1.0278415682	4.9640293111
-0.9783045446	4.9433672435
-0.9289741304	4.9227334372
-0.8798492785	4.9022792313
-0.8309274745	4.8821468089
-0.7822048269	4.8624693803
-0.7336761567	4.8433713774
-0.6853350830	4.8249686584
-0.6371741087	4.8073687161
-0.5891847027	4.7906708884
-0.5413573804	4.7749665662
-0.4936817820	4.7603393971
-0.4461467493	4.7468654815
-0.3987404001	4.7346135592
-0.3514502006	4.7236451851
-0.3042630371	4.7140148910
-0.2571652846	4.7057703331
-0.2101428758	4.6989524239
-0.1631813673	4.6935954465
-0.1162660056	4.6897271512
-0.0693817919	4.6873688340
-0.0225135468	4.6865353949
0.0243540265	4.6872353773
0.0712362786	4.6894709874
0.1181485503	4.6932380925
0.1651061096	4.6985262005
0.2121240872	4.7053184183
0.2592174129	4.7135913905
0.3064007503	4.7233152189
0.3536884307	4.7344533623
0.4010943866	4.7469625188
0.4486320829	4.7607924894
0.4963144473	4.7758860261
0.5441537994	4.7921786640
0.5921617770	4.8095985390
0.6403492617	4.8280661939
0.6887263016	4.8474943738
0.7373020323	4.8677878120
0.7860845959	4.8888430115
0.8350810574	4.9105480223
0.8842973190	4.9327822184
0.9337380327	4.9554160789
0.9834065095	4.9783109755
1.0333046279	5.0013189717
1.0834327398	5.0242826380
