#x	 y
-1.2842671101	-4.2817763694
-1.3273981654	-4.3442120287
-1.3711465691	-4.4052136443
-1.4154969901	-4.4645812534
-1.4604320439	-4.5221042212
-1.5059321861	-4.5775611238
-1.5519756038	-4.6307196967
-1.5985381072	-4.6813368575
-1.6455930221	-4.7291588135
-1.6931110836	-4.7739212640
-1.7410603326	-4.8153497086
-1.7894060155	-4.8531598727
-1.8381104895	-4.8870582604
-1.8871331335	-4.9167428468
-1.9364302670	-4.9419039202
-1.9859550780	-4.9622250844
-2.0356575619	-4.9773844300
-2.0854844730	-4.9870558849
-2.1353792905	-4.9909107488
-2.1852822005	-4.9886194186
-2.2351300964	-4.9798533074
-2.2848565997	-4.9642869574
-2.3343921021	-4.9416003451
-2.3836638331	-4.9114813729
-2.4325959515	-4.8736285382
-2.4811096660	-4.8277537670
-2.5291233838	-4.7735853934
-2.5765528907	-4.7108712651
-2.6233115616	-4.6393819464
-2.6693106044	-4.5589139873
-2.7144593361	-4.4692932244
-2.7586654921	-4.3703780698
-2.8018355686	-4.2620627455
-2.8438751958	-4.1442804136
-2.8846895429	-4.0170061494
-2.9241837510	-3.8802597049
-2.9622633927	-3.7341080053
-2.9988349547	-3.5786673237
-3.0338063411	-3.4141050784
-3.0670873915	-3.2406412004
-3.0985904115	-3.0585490210
-3.1282307087	-2.8681556382
-3.1559271300	-2.6698417218
-3.1816025936	-2.4640407300
-3.2051846110	-2.2512375162
-3.2266057909	-2.0319663181
-3.2458043206	-1.8068081285
-3.2627244179	-1.5763874627
-3.2773167479	-1.3413685477
-3.2895387983	-1.1024509699
-3.2993552097	-0.8603648315
-3.3067380544	-0.6158654744
-3.3116670610	-0.3697278419
-3.3141297809	-0.1227405570
-3.3141216949	0.1243002004
-3.3116462572	0.3705969251
-3.3067148778	0.6153570373
-3.2993468419	0.8577990588
-3.2895691691	1.0971586250
-3.2774164127	1.3326942447
-3.2629304040	1.5636927286
-3.2461599435	1.7894742116
-3.2271604444	2.0093967068
-3.2059935337	2.2228601360
-3.1827266146	2.4293097964
-3.1574323985	2.6282392325
-3.1301884102	2.8191924946
-3.1010764746	3.0017657796
-3.0701821892	3.1756084573
-3.0375943901	3.3404235001
-3.0034046158	3.4959673408
-2.9677065759	3.6420491926
-2.9305956286	3.7785298739
-2.8921682727	3.9053201835
-2.8525216570	4.0223788781
-2.8117531130	4.1297103074
-2.7699597115	4.2273617608
-2.7272378476	4.3154205825
-2.6836828557	4.3940111103
-2.6393886546	4.4632914899
-2.5944474265	4.5234504155
-2.5489493274	4.5747038440
-2.5029822314	4.6172917226
-2.4566315062	4.6514747713
-2.4099798218	4.6775313507
-2.3631069888	4.6957544450
-2.3160898271	4.7064487837
-2.2690020619	4.7099281209
-2.2219142463	4.7065126873
-2.1748937090	4.6965268254
-2.1280045234	4.6802968145
-2.0813074991	4.6581488890
-2.0348601909	4.6304074503
-1.9887169257	4.5973934709
-1.9429288436	4.5594230837
-1.8975439527	4.5168063538
-1.8526071955	4.4698462207
-1.8081605243	4.4188376053
-1.7642429857	4.3640666696
-1.7208908106	4.3058102186
-1.6781375111	4.2443352345
-1.6360139798	4.1798985312
-1.5945485930	4.1127465175
-1.5537673157	4.0431150600
-1.5136938071	3.9712294325
-1.4743495267	3.8973043440
-1.4357538391	3.8215440337
-1.3979241185	3.7441424263
-1.3608758503	3.6652833357
-1.3246227316	3.5851407125
-1.2891767679	3.5038789256
-1.2545483679	3.4216530731
-1.2207464340	3.3386093145
-1.1877784506	3.2548852200
-1.1556505674	3.1706101328
-1.1243676807	3.0859055371
-1.0939335094	3.0008854318
-1.0643506685	2.9156567034
-1.0356207379	2.8303194970
-1.0077443284	2.7449675825
-0.9807211436	2.6596887139
-0.9545500378	2.5745649789
-0.9292290718	2.4896731402
-0.9047555635	2.4050849636
-0.8811261373	2.3208675356
-0.8583367686	2.2370835666
-0.8363828263	2.1537916824
-0.8152591124	2.0710467008
-0.7949598988	1.9888998951
-0.7754789611	1.9073992441
-0.7568096108	1.8265896677
-0.7389447243	1.7465132500
-0.7218767708	1.6672094483
-0.7055978369	1.5887152904
-0.6900996505	1.5110655585
-0.6753736022	1.4342929619
-0.6614107651	1.3584282978
-0.6482019133	1.2835006012
-0.6357375387	1.2095372846
-0.6240078668	1.1365642676
-0.6130028707	1.0646060972
-0.6027122846	0.9936860588
-0.5931256155	0.9238262799
-0.5842321547	0.8550478248
-0.5760209878	0.7873707828
-0.5684810038	0.7208143488
-0.5616009043	0.6553968989
-0.5553692106	0.5911360582
-0.5497742714	0.5280487647
-0.5448042692	0.4661513273
-0.5404472263	0.4054594792
-0.5366910104	0.3459884272
-0.5335233394	0.2877528965
-0.5309317865	0.2307671725
-0.5289037837	0.1750451387
-0.5274266264	0.1206003113
-0.5264874762	0.0674458711
-0.5260733648	0.0155946933
-0.5261711962	-0.0349406263
-0.5267677500	-0.0841477468
-0.5278496835	-0.1320145596
-0.5294035339	-0.1785291683
-0.5314157205	-0.2236798703
-0.5338725466	-0.2674551402
-0.5367602007	-0.3098436147
-0.5400647588	-0.3508340796
-0.5437721854	-0.3904154579
-0.5478683346	-0.4285767993
-0.5523389518	-0.4653072722
-0.5571696747	-0.5005961555
-0.5623460342	-0.5344328335
-0.5678534557	-0.5668067910
-0.5736772596	-0.5977076106
-0.5798026630	-0.6271249708
-0.5862147801	-0.6550486464
-0.5928986233	-0.6814685094
-0.5998391042	-0.7063745317
-0.6070210347	-0.7297567899
-0.6144291281	-0.7516054705
-0.6220479999	-0.7719108775
-0.6298621695	-0.7906634413
