# t	 x	 y
0.0000000000	0.0000000000	0.0000000000
0.0100000000	0.0009882299	0.1976183128
0.0200000000	0.0039517869	0.3950628296
0.0300000000	0.0088888551	0.5923179256
0.0400000000	0.0157974620	0.7893679803
0.0500000000	0.0246754791	0.9861973561
0.0600000000	0.0355206212	1.1827903564
0.0700000000	0.0483304455	1.3791311557
0.0800000000	0.0631023501	1.5752036967
0.0900000000	0.0798335704	1.7709915459
0.1000000000	0.0985211753	1.9664777020
0.1100000000	0.1191620593	2.1616443519
0.1200000000	0.1417529340	2.3564725654
0.1300000000	0.1662903143	2.5509419246
0.1400000000	0.1927705016	2.7450300817
0.1500000000	0.2211895622	2.9387122380
0.1600000000	0.2515432997	3.1319605398
0.1700000000	0.2838272210	3.3247433849
0.1800000000	0.3180364948	3.5170246354
0.1900000000	0.3541659024	3.7087627303
0.2000000000	0.3922097781	3.8999096948
0.2100000000	0.4321619399	4.0904100415
0.2200000000	0.4740156083	4.2801995595
0.2300000000	0.5177633127	4.4692039896
0.2400000000	0.5633967837	4.6573375817
0.2500000000	0.6109068304	4.8445015344
0.2600000000	0.6602832018	5.0305823162
0.2700000000	0.7115144303	5.2154498688
0.2800000000	0.7645876575	5.3989556961
0.2900000000	0.8194884392	5.5809308432
0.3000000000	0.8762005305	5.7611837715
0.3100000000	0.9347056493	5.9394981404
0.3200000000	0.9949832162	6.1156305062
0.3300000000	1.0570100723	6.2893079558
0.3400000000	1.1207601719	6.4602256937
0.3500000000	1.1862042519	6.6280446056
0.3600000000	1.2533094766	6.7923888293
0.3700000000	1.3220390575	6.9528433659
0.3800000000	1.3923518510	7.1089517717
0.3900000000	1.4642019328	7.2602139784
0.4000000000	1.5375381513	7.4060842953
0.4100000000	1.6123036623	7.5459696531
0.4200000000	1.6884354480	7.6792281608
0.4300000000	1.7658638232	7.8051680494
0.4400000000	1.8445119325	7.9230470876
0.4500000000	1.9242952460	8.0320725602
0.4600000000	2.0051210563	8.1314019066
0.4700000000	2.0868879869	8.2201441209
0.4800000000	2.1694855179	8.2973620213
0.4900000000	2.2527935399	8.3620754946
0.5000000000	2.3366819453	8.4132658232
0.5100000000	2.4210102686	8.4498811958
0.5200000000	2.5056273886	8.4708434941
0.5300000000	2.5903713047	8.4750564373
0.5400000000	2.6750690020	8.4614151438
0.5500000000	2.7595364189	8.4288171486
0.5600000000	2.8435785327	8.3761748839
0.5700000000	2.9269895771	8.3024295939
0.5800000000	3.0095534050	8.2065666111
0.5900000000	3.0910440118	8.0876318768
0.6000000000	3.1712262280	7.9447495312
0.6100000000	3.2498565931	7.7771403435
0.6200000000	3.3266844161	7.5841406957
0.6300000000	3.4014530281	7.3652217699
0.6400000000	3.4739012252	7.1200085395
0.6500000000	3.5437648989	6.8482981069
0.6600000000	3.6107788445	6.5500768969
0.6700000000	3.6746787337	6.2255361789
0.6800000000	3.7352032315	5.8750853803
0.6900000000	3.7920962334	5.4993626606
0.7000000000	3.8451091920	5.0992422349
0.7100000000	3.8940034988	4.6758379915
0.7200000000	3.9385528827	4.2305030129
0.7300000000	3.9785457807	3.7648247057
0.7400000000	4.0137876381	3.2806153604
0.7500000000	4.0441030910	2.7798980882
0.7600000000	4.0693379848	2.2648882280
0.7700000000	4.0893611862	1.7379704649
0.7800000000	4.1040661452	1.2016720477
0.7900000000	4.1133721729	0.6586326348
0.8000000000	4.1172254030	0.1115714222
0.8100000000	4.1155994146	-0.4367476887
0.8200000000	4.1084954996	-0.9835520512
0.8300000000	4.0959425695	-1.5260964843
0.8400000000	4.0779967014	-2.0616988466
0.8500000000	4.0547403360	-2.5877741109
0.8600000000	4.0262811453	-3.1018661363
0.8700000000	3.9927505970	-3.6016764205
0.8800000000	3.9543022496	-4.0850892312
0.8900000000	3.9111098152	-4.5501926442
0.9000000000	3.8633650355	-4.9952951648
0.9100000000	3.8112754126	-5.4189377538
0.9200000000	3.7550618440	-5.8199012284
0.9300000000	3.6949562060	-6.1972091460
0.9400000000	3.6311989296	-6.5501264032
0.9500000000	3.5640366109	-6.8781538857
0.9600000000	3.4937196928	-7.1810195907
0.9700000000	3.4205002511	-7.4586667049
0.9800000000	3.3446299130	-7.7112391570
0.9900000000	3.2663579304	-7.9390651840
1.0000000000	3.1859294253	-8.1426394432
1.0100000000	3.1035838194	-8.3226041834
1.0200000000	3.0195534537	-8.4797299550
1.0300000000	2.9340624033	-8.6148962893
1.0400000000	2.8473254818	-8.7290727281
1.0500000000	2.7595474342	-8.8233005259
1.0600000000	2.6709223072	-8.8986752870
1.0700000000	2.5816329876	-8.9563307420
1.0800000000	2.4918508971	-8.9974238153
1.0900000000	2.4017358293	-9.0231210797
1.1000000000	2.3114359149	-9.0345866524
1.1100000000	2.2210877004	-9.0329715443
1.1200000000	2.1308163271	-9.0194044427
1.1300000000	2.0407357940	-8.9949838773
1.1400000000	1.9509492934	-8.9607717027
1.1500000000	1.8615496049	-8.9177878084
1.1600000000	1.7726195369	-8.8670059610
1.1700000000	1.6842324040	-8.8093506752
1.1800000000	1.5964525318	-8.7456950056
1.1900000000	1.5093357786	-8.6768591540
1.2000000000	1.4229300679	-8.6036097863
1.2100000000	1.3372759252	-8.5266599616
1.2200000000	1.2524070113	-8.4466695773
1.2300000000	1.1683506507	-8.3642462441
1.2400000000	1.0851283482	-8.2799465112
1.2500000000	1.0027562921	-8.1942773698
1.2600000000	0.9212458416	-8.1076979701
1.2700000000	0.8406039960	-8.0206214955
1.2800000000	0.7608338441	-7.9334171450
1.2900000000	0.6819349943	-7.8464121809
